relative_path,source_path,group,rows,columns,column_names
data/original/stata/primary_regression_inputs/700800am.dta,/Users/dlev2617/Documents/Data/~Nexus_Data/Twin Cities Traffic Management/Transportation Management Systems CDs/Disk 1/regression tables/Stata data/700800am.dta,primary_regression_inputs,9352,164,am700800; segment; date; density; speed; rm; vms; hhelper; conhov; barhov; twolane; threelan; fourlane; th77nb; i35e2nb; i35enb; i35esb; th77svms; i35esvms; i394whov; i394ehov; i35wnhov; i35wshov; i94intew; i94intee; i94btwnb; i94btwsb; i494nb; i494sb; i694wb; i694eb; i494wb; i494eb; I35ENB; I35ESB; rmvms; rmhhelpr; vmshelpr; rvhhelr; rmconhov; vmscohov; hlprchov; rmbarhov; vmsbrhov; hlprbhov; rvchov; rvbhov; rchovhlp; rbhovhlp; vhlpchov; vhlpbhov; rvhlpchv; rvhlpbhv; secup; firstup; within; firstdow; secdown; secuprm; firtuprm; withinrm; firtdorm; secdwnrm; secupvms; firtupvm; withnvms; firdwvms; secdwvms; secuphh; firtuphh; withinhh; firtdwhh; secdwhh; seupchov; fiupchov; withchov; fidwchov; sedwchov; seupbhov; fiupbhov; withbhov; fidwbhov; sedwbhov; rh77nb; r35e2nb; r35enb; r35esb; rh77svms; r35esvms; r394whov; r394ehov; r35wnhov; r35wshov; r94intew; r94intee; r94btwnb; r94btwsb; r494nb; r494sb; r694wb; r694eb; r494wb; r494eb; R35ENB; R35ESB; vh77nb; v35e2nb; v35enb; v35esb; vh77svms; v35esvms; v394whov; v394ehov; v35wnhov; v35wshov; v94intew; v94intee; v94btwnb; v94btwsb; v494nb; v494sb; v694wb; v694eb; v494wb; v494eb; V35ENB; V35ESB; hth77nb; h35e2nb; h35enb; h35esb; h77svms; h35esvms; h394whov; h394ehov; h35wnhov; h35wshov; h94intew; h94intee; h94btwnb; h94btwsb; h494nb; h494sb; h694wb; h694eb; h494wb; h494eb; H35ENB; H35ESB; r2; v2; h2; c2; b2; r3; v3; h3; c3; b3; r4; v4; h4; c4; b4
data/original/stata/primary_regression_inputs/800900am.dta,/Users/dlev2617/Documents/Data/~Nexus_Data/Twin Cities Traffic Management/Transportation Management Systems CDs/Disk 1/regression tables/Stata data/800900am.dta,primary_regression_inputs,9400,164,am800900; segment; date; density; speed; rm; vms; hhelper; conhov; barhov; twolane; threelan; fourlane; th77nb; i35e2nb; i35enb; i35esb; th77svms; i35esvms; i394whov; i394ehov; i35wnhov; i35wshov; i94intew; i94intee; i94btwnb; i94btwsb; i494nb; i494sb; i694wb; i694eb; i494wb; i494eb; I35ENB; I35ESB; rmvms; rmhhelpr; vmshelpr; rvhhelr; rmconhov; vmscohov; hlprchov; rmbarhov; vmsbrhov; hlprbhov; rvchov; rvbhov; rchovhlp; rbhovhlp; vhlpchov; vhlpbhov; rvhlpchv; rvhlpbhv; secup; firstup; within; firstdow; secdown; secuprm; firtuprm; withinrm; firtdorm; secdwnrm; secupvms; firtupvm; withnvms; firdwvms; secdwvms; secuphh; firtuphh; withinhh; firtdwhh; secdwhh; seupchov; fiupchov; withchov; fidwchov; sedwchov; seupbhov; fiupbhov; withbhov; fidwbhov; sedwbhov; rh77nb; r35e2nb; r35enb; r35esb; rh77svms; r35esvms; r394whov; r394ehov; r35wnhov; r35wshov; r94intew; r94intee; r94btwnb; r94btwsb; r494nb; r494sb; r694wb; r694eb; r494wb; r494eb; R35ENB; R35ESB; vh77nb; v35e2nb; v35enb; v35esb; vh77svms; v35esvms; v394whov; v394ehov; v35wnhov; v35wshov; v94intew; v94intee; v94btwnb; v94btwsb; v494nb; v494sb; v694wb; v694eb; v494wb; v494eb; V35ENB; V35ESB; hth77nb; h35e2nb; h35enb; h35esb; h77svms; h35esvms; h394whov; h394ehov; h35wnhov; h35wshov; h94intew; h94intee; h94btwnb; h94btwsb; h494nb; h494sb; h694wb; h694eb; h494wb; h494eb; H35ENB; H35ESB; r2; v2; h2; c2; b2; r3; v3; h3; c3; b3; r4; v4; h4; c4; b4
data/original/stata/primary_regression_inputs/400500PM.dta,/Users/dlev2617/Documents/Data/~Nexus_Data/Twin Cities Traffic Management/Transportation Management Systems CDs/Disk 1/regression tables/Stata data/400500PM.dta,primary_regression_inputs,9324,164,pm400500; segment; date; density; speed; rm; vms; hhelper; conhov; barhov; twolane; threelan; fourlane; th77nb; i35e2nb; i35enb; i35esb; th77svms; i35esvms; i394whov; i394ehov; i35wnhov; i35wshov; i94intew; i94intee; i94btwnb; i94btwsb; i494nb; i494sb; i694wb; i694eb; i494wb; i494eb; I35ENB; I35ESB; rmvms; rmhhelpr; vmshelpr; rvhhelr; rmconhov; vmscohov; hlprchov; rmbarhov; vmsbrhov; hlprbhov; rvchov; rvbhov; rchovhlp; rbhovhlp; vhlpchov; vhlpbhov; rvhlpchv; rvhlpbhv; secup; firstup; within; firstdow; secdown; secuprm; firtuprm; withinrm; firtdorm; secdwnrm; secupvms; firtupvm; withnvms; firdwvms; secdwvms; secuphh; firtuphh; withinhh; firtdwhh; secdwhh; seupchov; fiupchov; withchov; fidwchov; sedwchov; seupbhov; fiupbhov; withbhov; fidwbhov; sedwbhov; rh77nb; r35e2nb; r35enb; r35esb; rh77svms; r35esvms; r394whov; r394ehov; r35wnhov; r35wshov; r94intew; r94intee; r94btwnb; r94btwsb; r494nb; r494sb; r694wb; r694eb; r494wb; r494eb; R35ENB; R35ESB; vh77nb; v35e2nb; v35enb; v35esb; vh77svms; v35esvms; v394whov; v394ehov; v35wnhov; v35wshov; v94intew; v94intee; v94btwnb; v94btwsb; v494nb; v494sb; v694wb; v694eb; v494wb; v494eb; V35ENB; V35ESB; hth77nb; h35e2nb; h35enb; h35esb; h77svms; h35esvms; h394whov; h394ehov; h35wnhov; h35wshov; h94intew; h94intee; h94btwnb; h94btwsb; h494nb; h494sb; h694wb; h694eb; h494wb; h494eb; H35ENB; H35ESB; r2; v2; h2; c2; b2; r3; v3; h3; c3; b3; r4; v4; h4; c4; b4
data/original/stata/primary_regression_inputs/500600pm.dta,/Users/dlev2617/Documents/Data/~Nexus_Data/Twin Cities Traffic Management/Transportation Management Systems CDs/Disk 1/regression tables/Stata data/500600pm.dta,primary_regression_inputs,9314,164,pm500600; segment; date; density; speed; rm; vms; hhelper; conhov; barhov; twolane; threelan; fourlane; th77nb; i35e2nb; i35enb; i35esb; th77svms; i35esvms; i394whov; i394ehov; i35wnhov; i35wshov; i94intew; i94intee; i94btwnb; i94btwsb; i494nb; i494sb; i694wb; i694eb; i494wb; i494eb; I35ENB; I35ESB; rmvms; rmhhelpr; vmshelpr; rvhhelr; rmconhov; vmscohov; hlprchov; rmbarhov; vmsbrhov; hlprbhov; rvchov; rvbhov; rchovhlp; rbhovhlp; vhlpchov; vhlpbhov; rvhlpchv; rvhlpbhv; secup; firstup; within; firstdow; secdown; secuprm; firtuprm; withinrm; firtdorm; secdwnrm; secupvms; firtupvm; withnvms; firdwvms; secdwvms; secuphh; firtuphh; withinhh; firtdwhh; secdwhh; seupchov; fiupchov; withchov; fidwchov; sedwchov; seupbhov; fiupbhov; withbhov; fidwbhov; sedwbhov; rh77nb; r35e2nb; r35enb; r35esb; rh77svms; r35esvms; r394whov; r394ehov; r35wnhov; r35wshov; r94intew; r94intee; r94btwnb; r94btwsb; r494nb; r494sb; r694wb; r694eb; r494wb; r494eb; R35ENB; R35ESB; vh77nb; v35e2nb; v35enb; v35esb; vh77svms; v35esvms; v394whov; v394ehov; v35wnhov; v35wshov; v94intew; v94intee; v94btwnb; v94btwsb; v494nb; v494sb; v694wb; v694eb; v494wb; v494eb; V35ENB; V35ESB; hth77nb; h35e2nb; h35enb; h35esb; h77svms; h35esvms; h394whov; h394ehov; h35wnhov; h35wshov; h94intew; h94intee; h94btwnb; h94btwsb; h494nb; h494sb; h694wb; h694eb; h494wb; h494eb; H35ENB; H35ESB; r2; v2; h2; c2; b2; r3; v3; h3; c3; b3; r4; v4; h4; c4; b4
data/original/stata/incident_free_subsets/incident free 7-8 AM .dta,/Users/dlev2617/Documents/Data/~Nexus_Data/Twin Cities Traffic Management/Transportation Management Systems CDs/Disk 1/incident free  & incident only regression tables/incident free/incident free 7-8 AM .dta,incident_free_subsets,8988,38,date; density; speed; rm; vms; hhelper; conhov; barhov; twolane; threlane; fourlane; th77nb; i35e2nb; i35e1nb; i35e1sb; th77svms; i35esvms; i394whov; i394ehov; i35wnhov; i35wshov; i94intew; i94intee; i94btwnb; i94btwsb; i494nb; i494sb; i694wb; i694eb; i494wb; i494eb; i35e3nb; i35e3sb; secup; firup; within; firdown; secdown
data/original/stata/incident_free_subsets/incident free  8-9 AM.dta,/Users/dlev2617/Documents/Data/~Nexus_Data/Twin Cities Traffic Management/Transportation Management Systems CDs/Disk 1/incident free  & incident only regression tables/incident free/incident free  8-9 AM.dta,incident_free_subsets,9030,37,density; speed; rm; vms; hhelper; conhov; barhov; twolane; threlane; fourlane; th77nb; i35e2nb; i35e1nb; i35e1sb; th77svms; i35esvms; i394whov; i394ehov; i35wnhov; i35wshov; i94intew; i94intee; i94btwnb; i94btwsb; i494nb; i494sb; i694wb; i694eb; i494wb; i494eb; i35e3nb; i35e3sb; secup; firup; within; firdown; secdown
data/original/stata/incident_free_subsets/incident free 4-5 PM .dta,/Users/dlev2617/Documents/Data/~Nexus_Data/Twin Cities Traffic Management/Transportation Management Systems CDs/Disk 1/incident free  & incident only regression tables/incident free/incident free 4-5 PM .dta,incident_free_subsets,8937,39,infree45; date; density; speed; rm; vms; hhelper; conhov; barhov; twolane; threlane; fourlane; th77nb; i35e2nb; i35e1nb; i35e1sb; th77svms; i35esvms; i394whov; i394ehov; i35wnhov; i35wshov; i94intew; i94intee; i94btwnb; i94btwsb; i494nb; i494sb; i694wb; i694eb; i494wb; i494eb; i35e3nb; i35e3sb; secup; firup; within; firdown; secdown
data/original/stata/incident_free_subsets/incident free 5-6 PM .dta,/Users/dlev2617/Documents/Data/~Nexus_Data/Twin Cities Traffic Management/Transportation Management Systems CDs/Disk 1/incident free  & incident only regression tables/incident free/incident free 5-6 PM .dta,incident_free_subsets,8888,39,infree56; date; density; speed; rm; vms; hhelper; conhov; barhov; twolane; threlane; fourlane; th77nb; i35e2nb; i35e1nb; i35e1sb; th77svms; i35esvms; i394whov; i394ehov; i35wnhov; i35wshov; i94intew; i94intee; i94btwnb; i94btwsb; i494nb; i494sb; i694wb; i694eb; i494wb; i494eb; i35e3nb; i35e3sb; secup; firup; within; firdown; secdown
data/original/stata/incident_only_subsets/incident 700am-800am.dta,/Users/dlev2617/Documents/Data/~Nexus_Data/Twin Cities Traffic Management/Transportation Management Systems CDs/Disk 1/incident free  & incident only regression tables/incident only/incident 700am-800am.dta,incident_only_subsets,365,40,inci78AM; segment; date; density; speed; rm; vms; hhelper; conhov; barhov; twolane; threlane; fourlane; th77nb; i35e2nb; i35e1nb; i35e1sb; th77svms; i35esvms; i394whov; i394ehov; i35wnhov; i35wshov; i94intew; i94intee; i94btwnb; i94btwsb; i494nb; i494sb; i694wb; i694eb; i494wb; i494eb; i35e3nb; i35e3sb; secup; firup; within; firdown; secdown
data/original/stata/incident_only_subsets/incident800-900am.dta,/Users/dlev2617/Documents/Data/~Nexus_Data/Twin Cities Traffic Management/Transportation Management Systems CDs/Disk 1/incident free  & incident only regression tables/incident only/incident800-900am.dta,incident_only_subsets,370,40,inci89AM; segment; date; density; speed; rm; vms; hhelper; conhov; barhov; twolane; threlane; fourlane; th77nb; i35e2nb; i35e1nb; i35e1sb; th77svms; i35esvms; i394whov; i394ehov; i35wnhov; i35wshov; i94intew; i94intee; i94btwnb; i94btwsb; i494nb; i494sb; i694wb; i694eb; i494wb; i494eb; i35e3nb; i35e3sb; secup; firup; within; firdown; secdown
